City Name,Latitude,Longitude,Temerature,Wind Speed,Clouds,Humidity,Country,Date
hilo,19.7297,-155.09,78.82,10.36,75,76,US,1650759867
swan hill,-35.3378,143.5544,64.49,8.34,0,56,AU,1650759901
barrow,71.2906,-156.7887,17.62,0.0,100,86,US,1650759901
lagoa,39.05,-27.9833,57.76,23.44,21,69,PT,1650759901
joaima,-16.6542,-41.0306,78.58,2.55,72,60,BR,1650759902
bengkulu,-3.8004,102.2655,75.13,6.87,100,88,ID,1650759903
kattivakkam,13.2167,80.3167,84.07,7.0,93,86,IN,1650759903
norman wells,65.282,-126.8329,44.64,19.57,20,45,CA,1650759903
high level,58.5169,-117.136,50.11,11.5,20,23,CA,1650759904
vao,-22.6667,167.4833,75.0,24.96,89,72,NC,1650759904
kaitangata,-46.2817,169.8464,52.48,13.02,92,84,NZ,1650759905
alta floresta,-9.8756,-56.0861,73.56,2.06,79,92,BR,1650759906
cherskiy,68.75,161.3,19.58,3.06,99,83,RU,1650759906
rongcheng,30.634,117.8517,72.39,3.0,2,81,CN,1650759907
tripoli,32.8752,13.1875,64.44,11.95,15,56,LY,1650759901
mandera,3.9366,41.867,82.56,15.03,100,63,KE,1650759907
mar del plata,-38.0023,-57.5575,64.87,9.22,0,69,AR,1650759908
majene,-3.5403,118.9707,82.38,4.63,88,78,ID,1650759908
east london,-33.0153,27.9116,62.83,7.07,100,89,ZA,1650759908
walvis bay,-22.9575,14.5053,54.55,2.3,0,87,NA,1650759909
myanaung,18.2833,95.3167,82.44,3.53,10,73,MM,1650759909
mae hong son,19.3003,97.9685,80.74,2.3,45,74,TH,1650759910
lebu,-37.6167,-73.65,52.32,8.95,16,85,CL,1650759910
sibenik,43.7272,15.9058,61.38,11.99,5,59,HR,1650759911
kilindoni,-7.9139,39.6668,80.8,5.17,100,79,TZ,1650759911
asfi,32.2994,-9.2372,59.92,11.16,54,66,MA,1650759911
sambava,-14.2667,50.1667,74.17,9.28,82,92,MG,1650759912
husavik,66.0449,-17.3389,44.24,2.46,30,78,IS,1650759912
sala,34.0389,-6.8166,50.68,3.44,40,100,MA,1650759913
yulara,-25.2406,130.9889,67.84,14.97,8,37,AU,1650759913
vila velha,-20.3297,-40.2925,79.95,13.8,0,84,BR,1650759914
komsomolskiy,40.4272,71.7189,61.52,6.91,77,63,UZ,1650759914
novyy svit,47.8059,38.0211,52.47,15.23,99,70,UA,1650759915
ribeira grande,38.5167,-28.7,58.01,22.53,35,74,PT,1650759915
awbari,26.5921,12.7805,72.64,8.75,0,13,LY,1650759916
khatanga,71.9667,102.5,2.71,3.38,88,95,RU,1650759916
hobart,-42.8794,147.3294,57.97,8.05,20,66,AU,1650759917
pimenta bueno,-11.6725,-61.1936,73.4,2.1,57,95,BR,1650759917
talnakh,69.4865,88.3972,-2.79,3.09,78,98,RU,1650759918
merauke,-8.4667,140.3333,82.94,3.91,100,75,ID,1650759918
butaritari,3.0707,172.7902,81.57,14.85,90,75,KI,1650759918
port hardy,50.6996,-127.4199,51.98,10.36,100,66,CA,1650759826
yellowknife,62.456,-114.3525,32.52,10.36,0,59,CA,1650759730
de-kastri,51.4667,140.7833,29.7,12.57,100,96,RU,1650759919
alihe,50.5667,123.7167,41.22,9.19,5,27,CN,1650759920
poum,-20.2333,164.0167,77.63,7.74,52,72,NC,1650759921
petropavlovsk-kamchatskiy,53.0452,158.6483,37.99,4.47,75,93,RU,1650759921
nome,64.5011,-165.4064,42.87,8.05,100,61,US,1650759921
iquitos,-3.7481,-73.2472,78.84,1.14,20,94,PE,1650759922
chokurdakh,70.6333,147.9167,1.15,2.8,98,94,RU,1650759860
puerto ayora,-0.7393,-90.3518,73.27,7.54,56,87,EC,1650759922
san mateo del mar,16.2,-95.0,83.88,13.82,1,71,MX,1650759923
dawlatabad,36.4141,64.9053,68.58,2.19,98,55,AF,1650759923
atuona,-9.8,-139.0333,79.25,15.95,65,78,PF,1650759924
bosaso,11.2842,49.1816,84.61,7.45,34,63,SO,1650759924
sabha,27.0377,14.4283,70.16,11.34,0,16,LY,1650759925
port lincoln,-34.7333,135.8667,66.45,17.25,22,79,AU,1650759925
santiago del estero,-27.7951,-64.2615,67.48,9.24,18,77,AR,1650759839
shiroi,35.8,140.0667,66.43,11.74,100,59,JP,1650759926
jining,35.405,116.5814,71.01,9.78,81,63,CN,1650759887
henties bay,-22.116,14.2845,59.34,11.1,36,89,NA,1650759926
longyearbyen,78.2186,15.6401,22.84,12.66,75,93,SJ,1650759927
bethel,41.3712,-73.414,54.86,1.01,99,57,US,1650759818
san pedro,14.35,121.0167,85.84,3.44,20,64,PH,1650759927
mosquera,4.7059,-74.2302,57.29,6.91,75,88,CO,1650759833
port-gentil,-0.7193,8.7815,80.58,5.66,98,82,GA,1650759928
arraial do cabo,-22.9661,-42.0278,78.06,4.88,3,75,BR,1650759928
kieta,-6.2167,155.6333,85.24,3.98,99,60,PG,1650759929
kudat,6.8837,116.8477,84.13,4.61,20,84,MY,1650759929
mamallapuram,12.6264,80.1722,84.25,3.83,92,81,IN,1650759929
tatawin,32.9297,10.4518,65.1,4.0,10,35,TN,1650759930
oyem,1.5995,11.5793,68.52,2.06,100,99,GA,1650759930
muisne,0.6,-80.0333,77.02,4.03,47,81,EC,1650759931
gasa,31.5,34.4667,64.89,4.47,5,86,PS,1650759931
mmathubudukwane,-24.6,26.4333,62.74,2.1,21,85,BW,1650759932
lavrentiya,65.5833,-171.0,29.84,3.31,99,76,RU,1650759933
kapaa,22.0752,-159.319,77.4,16.11,75,81,US,1650759934
dillon,34.4166,-79.3712,71.76,8.97,19,62,US,1650759934
krasnoselkup,65.7,82.4667,-0.56,6.33,98,99,RU,1650759935
cidreira,-30.1811,-50.2056,60.87,8.7,0,69,BR,1650759935
chekhov,55.1431,37.4711,42.96,4.03,99,80,RU,1650759935
santa ana,33.7456,-117.8678,73.27,12.66,20,40,US,1650759668
sechura,-5.5569,-80.8222,70.68,18.05,17,74,PE,1650759936
bloemfontein,-29.1211,26.214,51.28,1.14,62,93,ZA,1650759937
nelson bay,-32.7167,152.15,67.77,11.5,25,84,AU,1650759937
nikolskoye,59.7035,30.7861,38.07,9.62,100,83,RU,1650759937
tuatapere,-46.1333,167.6833,50.36,13.24,100,83,NZ,1650759938
aranda de duero,41.6704,-3.6892,39.81,13.09,93,84,ES,1650759938
miles city,46.4083,-105.8406,34.77,36.82,100,100,US,1650759650
meteti,8.4983,-77.9786,76.1,1.68,22,89,PA,1650759939
cacu,-18.5567,-51.1308,73.9,0.29,66,69,BR,1650759939
saint-georges,12.0564,-61.7485,78.48,5.75,20,78,GD,1650759913
verkh-usugli,52.7,115.1667,35.96,2.75,81,49,RU,1650759940
sept-iles,50.2001,-66.3821,36.05,11.5,20,55,CA,1650759902
georgetown,5.4112,100.3354,80.44,4.61,20,94,MY,1650759814
shakawe,-18.3667,21.85,62.04,1.92,3,57,BW,1650759941
griffith,41.5284,-87.4237,77.81,13.8,0,47,US,1650759713
bay roberts,47.5999,-53.2648,35.91,5.99,100,88,CA,1650759941
sosva,59.1766,61.8558,29.71,5.82,97,83,RU,1650759941
goderich,43.7501,-81.7165,59.32,16.11,30,58,CA,1650759942
hithadhoo,-0.6,73.0833,84.07,7.29,100,74,MV,1650759942
new norfolk,-42.7826,147.0587,54.32,2.37,28,66,AU,1650759943
anadyr,64.75,177.4833,28.0,4.47,20,68,RU,1650759943
saint-francois,46.4154,3.9054,45.84,3.44,0,87,FR,1650759943
batticaloa,7.7102,81.6924,78.87,5.64,100,83,LK,1650759944
ostrovnoy,68.0531,39.5131,29.86,12.37,48,88,RU,1650759945
castro,-24.7911,-50.0119,61.2,3.09,100,95,BR,1650759945
kavaratti,10.5669,72.642,83.73,2.62,71,71,IN,1650759946
pedernales,18.0384,-71.744,78.44,3.67,100,72,DO,1650759946
sorland,67.667,12.6934,42.12,8.46,97,86,NO,1650759946
mikumi,-7.4041,36.9831,69.19,0.78,99,97,TZ,1650759947
narsaq,60.9167,-46.05,39.42,3.13,100,98,GL,1650759947
hervey bay,-25.2986,152.8535,74.28,23.55,91,60,AU,1650759947
aubenas,44.6201,4.3899,44.17,2.73,95,98,FR,1650759948
sao filipe,14.8961,-24.4956,74.01,6.17,0,75,CV,1650759948
sitka,57.0531,-135.33,46.29,6.91,75,81,US,1650759949
guayaramerin,-10.8368,-65.3614,75.97,2.8,83,88,BO,1650759949
terneuzen,51.2809,3.8392,54.28,5.01,100,63,NL,1650759950
nanortalik,60.1432,-45.2371,34.93,6.4,100,99,GL,1650759950
boffa,10.1667,-14.0333,77.5,2.04,39,82,GN,1650759951
sobolevo,54.4299,31.8996,46.81,13.44,100,91,RU,1650759951
souillac,-20.5167,57.5167,73.78,16.11,75,73,MU,1650759952
farah,32.5,62.5,69.53,4.29,69,35,AF,1650759952
ocampo,21.65,-101.5,79.09,6.06,55,15,MX,1650759952
okha,53.5739,142.9478,28.47,9.53,58,87,RU,1650759953
milkovo,54.7167,158.6167,32.47,9.06,100,94,RU,1650759953
viedma,-40.8135,-62.9967,61.27,21.36,0,30,AR,1650759954
anloga,5.7947,0.8973,81.81,6.89,89,86,GH,1650759954
cervo,43.6702,-7.4101,53.96,11.61,84,80,ES,1650759954
sur,22.5667,59.5289,83.43,12.3,1,43,OM,1650759955
moerai,-22.4333,-151.3333,76.95,21.81,100,73,PF,1650759955
margate,51.3813,1.3862,51.84,7.0,100,80,GB,1650759955
provideniya,64.3833,-173.3,32.68,2.46,90,60,RU,1650759956
nikki,9.9401,3.2108,81.7,9.13,86,59,BJ,1650759956
port elizabeth,-33.918,25.5701,60.69,11.5,100,97,ZA,1650759957
kiama,-34.6833,150.8667,67.17,3.0,8,84,AU,1650759957
vardo,70.3705,31.1107,38.25,10.27,100,88,NO,1650759958
hamilton,39.1834,-84.5333,76.75,9.22,0,45,US,1650759823
constitucion,-35.3333,-72.4167,56.44,6.15,75,91,CL,1650759956
klaksvik,62.2266,-6.589,43.72,21.77,100,86,FO,1650759958
gladstone,-23.85,151.25,71.53,18.41,100,68,AU,1650759929
katsuura,35.1333,140.3,66.79,8.1,100,86,JP,1650759959
zhigansk,66.7697,123.3711,13.37,10.76,95,93,RU,1650759959
mount gambier,-37.8333,140.7667,58.91,11.5,0,72,AU,1650759960
hasaki,35.7333,140.8333,66.6,12.95,100,86,JP,1650759960
saint george,37.1041,-113.5841,66.52,14.97,0,19,US,1650759936
boende,-0.2167,20.8667,70.68,2.24,40,97,CD,1650759961
bonthe,7.5264,-12.505,79.74,2.33,72,85,SL,1650759961
soderhamn,61.3037,17.0592,37.96,10.98,30,78,SE,1650759961
luderitz,-26.6481,15.1594,54.84,23.09,1,79,NA,1650759962
salinopolis,-0.6136,-47.3561,74.25,5.66,100,92,BR,1650759962
beringovskiy,63.05,179.3167,27.77,1.9,89,83,RU,1650759963
taoudenni,22.6783,-3.9836,78.04,9.98,3,16,ML,1650759964
bibiani,6.4635,-2.3194,72.39,2.53,80,98,GH,1650759964
santa maria,-29.6842,-53.8069,52.9,2.3,0,94,BR,1650759840
itoman,26.1247,127.6694,78.64,17.27,75,80,JP,1650759965
atar,20.5169,-13.0499,75.87,7.76,2,27,MR,1650759965
luan,46.3592,6.9759,36.18,3.33,99,91,CH,1650759966
jonesboro,35.8423,-90.7043,77.81,13.8,75,57,US,1650759966
saldanha,-33.0117,17.9442,50.05,18.48,0,69,ZA,1650759967
banff,51.1762,-115.5698,44.98,9.22,82,42,CA,1650759826
brae,60.3964,-1.353,44.83,14.38,79,78,GB,1650759967
isangel,-19.55,169.2667,84.31,4.61,75,70,VU,1650759967
mujiayingzi,42.1167,118.7833,57.13,2.08,78,22,CN,1650759968
abha,18.2164,42.5053,57.45,0.0,0,77,SA,1650759754
elat,29.5581,34.9482,73.24,5.75,1,46,IL,1650759969
san cristobal,7.7669,-72.225,71.78,2.51,90,97,VE,1650759969
misratah,32.3754,15.0925,62.71,8.43,0,71,LY,1650759970
pevek,69.7008,170.3133,14.11,1.99,99,92,RU,1650759970
mehamn,71.0357,27.8492,38.16,12.28,96,95,NO,1650759971
faanui,-16.4833,-151.75,79.54,8.55,84,75,PF,1650759972
mgandu,-5.95,34.1333,60.91,3.76,95,97,TZ,1650759972
ponta do sol,32.6667,-17.1,60.1,0.65,76,62,PT,1650759972
jacqueville,5.2052,-4.4146,81.07,5.84,68,86,CI,1650759973
dorado,18.4588,-66.2677,76.32,11.3,92,78,PR,1650759973
kozienice,51.5829,21.5478,42.13,7.61,10,37,PL,1650759974
ahipara,-35.1667,173.1667,65.25,14.76,59,62,NZ,1650759974
iskateley,67.6803,53.1512,4.33,4.59,100,96,RU,1650759975
camana,-16.6228,-72.7111,68.13,6.82,4,86,PE,1650759975
olafsvik,64.8945,-23.7142,44.4,5.95,43,92,IS,1650759976
koumac,-20.5667,164.2833,79.29,5.75,26,65,NC,1650759976
vestmannaeyjar,63.4427,-20.2734,46.15,6.04,62,85,IS,1650759976
tucuman,-26.8241,-65.2226,60.8,0.0,40,94,AR,1650759977
sibolga,1.7427,98.7792,77.63,3.38,100,88,ID,1650759977
nikko,36.75,139.6167,59.59,4.68,100,71,JP,1650759977
mitsamiouli,-11.3847,43.2844,81.45,11.9,100,82,KM,1650759978
banda aceh,5.5577,95.3222,80.26,4.83,24,84,ID,1650759721
vereshchagino,58.0789,54.6557,31.95,0.67,90,91,RU,1650759978
tirumullaivasal,11.2333,79.8333,81.39,1.74,84,79,IN,1650759979
havre-saint-pierre,50.2334,-63.5986,35.96,10.36,100,60,CA,1650759979
oistins,13.0667,-59.5333,78.89,14.97,20,69,BB,1650759980
marawi,7.9986,124.2928,74.71,1.79,69,82,PH,1650759980
nexo,55.0607,15.1306,42.89,18.14,94,90,DK,1650759981
morros,-9.4467,-46.3003,74.89,1.63,73,71,BR,1650759981
riberalta,-10.9833,-66.1,77.54,2.82,81,80,BO,1650759981
villaviciosa,43.4813,-5.4357,54.1,6.69,100,72,ES,1650759982
grindavik,63.8424,-22.4338,43.27,2.3,75,81,IS,1650759982
nicoya,10.1483,-85.452,81.48,3.33,57,73,CR,1650759983
balkanabat,39.5108,54.3671,63.37,3.51,0,58,TM,1650759983
port augusta,-32.5,137.7667,72.45,10.13,84,53,AU,1650759984
amarante do maranhao,-5.5667,-46.7422,72.25,3.06,100,98,BR,1650759984
kenmare,51.8833,-9.5833,46.56,5.93,76,93,IE,1650759985
coahuayana,18.7333,-103.6833,82.08,6.67,0,51,MX,1650759985
priladozhskiy,59.85,31.4833,35.53,10.04,88,1,RU,1650759986
marsa matruh,31.3525,27.2453,63.63,1.39,3,61,EG,1650759986
aklavik,68.2191,-135.0107,31.8,8.5,29,100,CA,1650759987
lai,9.3952,16.2989,85.15,5.35,97,45,TD,1650759987
rehburg-loccum,52.4667,9.2,49.03,11.01,4,64,DE,1650759988
darab,28.7519,54.5444,66.16,1.07,68,21,IR,1650759988
sao joao da barra,-21.6403,-41.0511,77.47,10.25,5,79,BR,1650759821
bambanglipuro,-7.95,110.2833,78.46,4.27,99,88,ID,1650759989
coquimbo,-29.9533,-71.3436,56.93,2.3,100,94,CL,1650759989
christchurch,-43.5333,172.6333,61.11,17.27,20,63,NZ,1650759731
elmira,42.0898,-76.8077,60.28,4.61,100,44,US,1650759990
cortez,37.3489,-108.5859,51.15,11.5,75,18,US,1650759990
ambilobe,-13.2,49.05,71.13,3.67,74,92,MG,1650759990
progreso,21.2833,-89.6667,79.11,19.39,0,81,MX,1650759991
qaqortoq,60.7167,-46.0333,35.85,5.3,100,98,GL,1650759992
urusha,54.05,122.9,36.1,5.03,3,30,RU,1650759992
mahebourg,-20.4081,57.7,73.69,16.11,75,73,MU,1650759992
piacabucu,-10.4056,-36.4344,78.26,7.14,19,84,BR,1650759993
storsteinnes,69.2408,19.2344,34.45,2.98,41,81,NO,1650759993
robertsport,6.7533,-11.3686,80.85,7.47,57,85,LR,1650759994
gizo,-8.103,156.8419,84.7,4.5,83,65,SB,1650759994
castellarano,44.5131,10.7329,48.36,5.39,56,90,IT,1650759995
bonavista,48.6499,-53.1147,32.7,22.03,100,94,CA,1650759995
yamethin,20.4333,96.15,80.98,7.34,5,61,MM,1650759996
san carlos de bariloche,-41.1456,-71.3082,42.55,25.32,75,87,AR,1650759996
leamington,42.0549,-82.6062,52.2,5.99,45,83,CA,1650759823
opuwo,-18.0607,13.84,64.13,2.68,8,54,NA,1650759997
berdychiv,49.8993,28.6024,44.37,5.61,95,94,UA,1650759997
churapcha,62.0025,132.4325,30.15,1.9,57,70,RU,1650759997
clyde river,70.4692,-68.5914,-5.57,3.44,20,77,CA,1650759998
muravlenko,63.7898,74.523,3.33,6.11,48,99,RU,1650759998
leningradskiy,69.3833,178.4167,25.02,3.47,100,88,RU,1650759999
vawkavysk,53.1561,24.4513,39.83,2.15,82,98,BY,1650759999
kagalnik,47.0769,39.323,56.71,10.22,97,73,RU,1650760000
togur,58.3631,82.8265,22.44,5.26,97,93,RU,1650760000
talaya,61.3833,152.75,19.0,5.73,100,85,RU,1650760000
tura,25.5198,90.2201,71.29,5.26,1,94,IN,1650760001
iqaluit,63.7506,-68.5145,11.93,2.3,40,67,CA,1650760002
geraldton,-28.7667,114.6,68.41,13.8,5,56,AU,1650760002
susanville,40.4163,-120.653,58.87,5.01,0,29,US,1650760003
beloha,-25.1667,45.05,74.17,5.3,100,81,MG,1650760003
srivardhan,18.0333,73.0167,83.64,2.28,64,77,IN,1650760003
los llanos de aridane,28.6585,-17.9182,56.12,5.01,20,82,ES,1650760004
palafrugell,41.9174,3.1631,50.58,5.01,74,46,ES,1650760004
jackson,42.4165,-122.8345,67.73,8.05,0,20,US,1650759901
namibe,-15.1961,12.1522,70.27,5.35,43,81,AO,1650760005
synya,65.3718,58.0387,15.53,2.33,83,96,RU,1650760005
dingle,10.9995,122.6711,82.22,8.37,94,79,PH,1650760005
tasiilaq,65.6145,-37.6368,32.16,6.38,94,88,GL,1650760006
bemidji,47.4736,-94.8803,57.18,14.97,40,89,US,1650760006
dwarka,22.2394,68.9678,80.51,12.46,1,76,IN,1650760007
petatlan,17.5167,-101.2667,84.0,6.17,2,62,MX,1650760007
bouna,9.2667,-3.0,80.08,6.22,92,62,CI,1650760008
lorengau,-2.0226,147.2712,83.79,7.47,84,75,PG,1650760008
baft,29.234,56.6057,54.5,0.94,22,42,IR,1650760008
santa rosa,14.3122,121.1114,86.56,9.24,36,68,PH,1650759868
balezino,57.9796,53.0106,30.67,2.08,94,96,RU,1650760009
mattru,7.6244,-11.8332,77.0,1.61,70,89,SL,1650760009
mahendranagar,28.9167,80.3333,73.51,6.85,0,22,NP,1650760010
genhe,50.7833,121.5167,38.37,1.52,35,33,CN,1650760010
bongandanga,1.5,21.05,69.6,2.55,90,98,CD,1650760011
isiro,2.7739,27.616,66.54,0.47,99,83,CD,1650760011
tiznit,29.5833,-9.5,52.88,8.19,29,82,MA,1650760012
tilichiki,60.4667,166.1,26.15,7.94,100,86,RU,1650760012
coruripe,-10.1256,-36.1756,77.45,8.14,38,87,BR,1650760013
kruisfontein,-34.0033,24.7314,58.89,6.38,82,93,ZA,1650760013
palana,59.1167,159.9667,28.54,7.11,100,86,RU,1650760013
nehe,48.4833,124.8333,47.41,8.12,20,27,CN,1650760014
carnarvon,-24.8667,113.6333,66.27,5.75,0,100,AU,1650760014
ullapool,57.8987,-5.1604,46.35,5.82,99,93,GB,1650760015
nabire,-3.3667,135.4833,80.89,1.14,97,74,ID,1650760015
egvekinot,66.3167,-179.1667,22.35,2.1,100,82,RU,1650760016
acarau,-2.8856,-40.12,75.07,9.15,100,93,BR,1650760016
mezen,65.8522,44.24,17.76,3.36,70,98,RU,1650760016
bako,5.7833,36.5667,62.35,3.8,87,92,ET,1650760017
pisco,-13.7,-76.2167,64.45,8.05,0,88,PE,1650759899
shimoda,34.6667,138.95,64.76,9.93,100,88,JP,1650760018
north bend,43.4065,-124.2243,58.01,11.5,0,74,US,1650759901
labuhan,-6.8844,112.2051,79.88,4.72,99,85,ID,1650760018
tuni,17.35,82.55,79.88,7.7,97,81,IN,1650760019
preobrazheniye,42.9019,133.9064,52.12,10.33,3,66,RU,1650760019
svetlaya,46.5389,138.3297,40.05,4.32,97,86,RU,1650760020
westport,41.1415,-73.3579,54.32,10.36,100,60,US,1650759939
torbay,47.6666,-52.7314,33.73,14.97,100,93,CA,1650760020
coihaique,-45.5752,-72.0662,40.95,5.75,100,93,CL,1650759787
mayang imphal,24.6167,93.8833,65.61,0.65,0,80,IN,1650760021
san policarpo,12.1791,125.5072,82.24,9.44,100,81,PH,1650760021
la peca,-5.6111,-78.435,73.09,3.6,84,76,PE,1650760022
damaturu,11.747,11.9608,89.28,4.14,72,23,NG,1650760022
koutsouras,35.0339,25.9469,62.11,6.82,23,80,GR,1650760023
honiara,-9.4333,159.95,86.32,4.09,34,63,SB,1650760023
watrous,51.6668,-105.4679,44.38,25.32,100,61,CA,1650760024
inverell,-29.7833,151.1167,69.22,5.99,84,50,AU,1650760018
vila franca do campo,37.7167,-25.4333,58.19,12.71,68,77,PT,1650760024
eldorado,-23.7869,-54.2836,69.93,3.98,84,92,BR,1650760024
mundo nuevo,18.7,-95.5,80.96,16.82,0,74,MX,1650760025
celestun,20.8667,-90.4,80.83,18.66,10,72,MX,1650760025
lardos,36.0942,28.0157,62.42,7.29,58,59,GR,1650760026
vilyuysk,63.7553,121.6247,24.17,2.57,100,91,RU,1650760026
manakara,-22.1333,48.0167,74.77,13.8,100,87,MG,1650760027
bonfim,3.0833,-59.95,84.13,9.6,82,63,BR,1650760027
aykhal,66.0,111.5,13.06,4.05,95,95,RU,1650760028
savinka,50.0785,47.0994,44.49,3.69,94,90,RU,1650760028
norrkoping,58.5942,16.1826,42.98,9.22,100,69,SE,1650760028
black river,18.0264,-77.8487,77.4,2.73,85,80,JM,1650760029
san quintin,30.4833,-115.95,62.51,13.49,0,66,MX,1650759806
namatanai,-3.6667,152.4333,84.78,6.78,93,65,PG,1650760030
sedan,49.6667,5.0,51.73,8.23,100,81,FR,1650760030
campo grande,-20.4428,-54.6464,69.35,4.61,0,78,BR,1650760031
ca mau,9.1769,105.15,82.11,4.34,70,79,VN,1650760031
sao borja,-28.6606,-56.0044,56.19,5.79,0,70,BR,1650760031
pangody,65.85,74.4859,-6.93,4.63,84,100,RU,1650760032
flekkefjord,58.2971,6.6607,46.06,11.25,41,59,NO,1650760032
ulaangom,49.9811,92.0667,35.06,5.64,11,51,MN,1650760032
byron bay,-28.65,153.6167,72.72,14.36,85,79,AU,1650760033
shingu,33.7333,135.9833,61.81,7.65,100,95,JP,1650760033
korcula,42.9622,17.1369,58.78,13.58,14,80,HR,1650760034
zaporizhzhya,47.8167,35.1833,52.61,9.6,100,78,UA,1650760034
sayyan,15.1718,44.3244,58.87,1.83,73,36,YE,1650760035
mikkeli,61.6886,27.2723,35.71,4.61,20,64,FI,1650760036
hanmer springs,-42.5167,172.8167,59.23,5.39,92,61,NZ,1650760036
riyadh,24.6877,46.7219,78.94,13.04,94,24,SA,1650759837
kavieng,-2.5744,150.7967,84.31,11.23,48,69,PG,1650760037
galle,6.0367,80.217,79.97,7.74,94,83,LK,1650760037
gavrilovka vtoraya,52.877,42.7663,47.21,3.44,56,62,RU,1650760038
tsabong,-26.0217,22.401,69.48,14.99,64,46,BW,1650760038
kangaatsiaq,68.3065,-53.4641,23.13,6.87,100,94,GL,1650760039
hella,67.2,14.4333,33.94,3.44,72,80,NO,1650760039
evensk,61.95,159.2333,27.82,20.2,83,69,RU,1650760040
perpignan,42.75,2.75,48.31,4.61,75,86,FR,1650760040
kysyl-syr,63.8986,122.7617,22.53,2.71,100,84,RU,1650760040
mayna,54.1135,47.6231,41.79,2.82,71,60,RU,1650760041
